,Average_BPM_Number,Number_of_Characters_Singing ,Cut_Modified_or_Original,Themes_of_Love,Themes_of_War
"""Alexander Hamilton""",132,15,1,2,3
"""Aaron Burr, Sir""",160,6,1,2,3
"""My Shot""",180,7,1,1,4
"""My Shot"" (Cut Hercules Mulligan Rap)",180,6,2,2,4
"""The Story of Tonight""",95,6,1,1,3
"""The Schuyler Sisters""",101,5,1,3,3
"""Farmer Refuted""",78,6,1,1,4
"""You'll Be Back""",122,2,1,4,4
"""Right Hand Man""",159,4,1,1,4
"""A Winter's Ball""",131,3,1,4,1
"""Helpless""",79,6,1,4,2
"""Satisfied""",124,4,1,4,2
"""The Story of Tonight"" (Reprise)",82,5,1,1,4
"""Wait for It""",87,2,1,2,3
"""Stay Alive""",160,5,1,2,2
"""Ten Duel Commandments""",78,6,1,1,4
"""Meet Me Inside""",89,3,1,2,4
"""That Would be Enough""",137,3,1,4,1
"""Guns and Ships""",138,7,1,1,4
"""History Has Its Eyes on You""",77,2,1,1,4
"""Laurence Interlide"" (cut)",82,3,2,3,4
"""Yorktown (The World Turned Upside Down)""",98,7,1,3,4
"""What Comes Next?""",115,1,1,2,4
"""Dear Theodosia""",107,4,1,2,3
"""Non-Stop""",92,7,1,1,3
"""What'd I Miss""",178,4,1,1,4
"""Dear Theodosia"" (reprise and cut)",83,3,2,1,1
"""Cabinet Battle #1""",87,5,1,1,1
"""Take a Break""",82,5,1,4,2
"""Say No to This""",82,4,1,4,1
"""Say No to This"" (cut off Broadway version)",82,4,1,4,1
"""The Room Where It Happens""",174,7,1,2,2
"""Schuyler Defeated""",102,5,1,2,3
"""Let it Go"" (cut)",100,5,2,4,2
"""Cabinet Battle #2""",99,8,1,1,2
"""Washington on Your Side""",134,6,1,1,2
"""One Last Time""",177,3,1,1,4
"""One Last Ride"" (cut)",90,6,2,4,4
"""I Know Him""",122,2,1,1,4
"""The Adams Administration""",130,8,1,1,2
"""The Adams Administration"" (cut lyrics)",145,8,2,1,2
"""We Know""",144,5,1,4,1
"""Hurricane""",171,2,1,2,1
"""The Hurricane"" (42 Hamilton Ben's Cut)",100,1,2,3,2
"""The Reynolds Pamphlet""",142,9,1,3,1
"""I Have This Friend"" (cut)",95,2,2,3,2
"""Burn""",100,1,1,4,1
"""First Burn"" (cut)",70,5,2,4,2
"""Congratulations"" (cut)",90,2,2,4,2
"""Blow Us All Away""",89,6,1,3,3
"""Blow Us All Away"" (32 Hamilton Ben's Cut Version)",100,6,2,3,3
"""Stay Alive"" (Reprise)",160,4,1,2,2
"""It's Quiet Uptown""",130,4,1,4,2
"""Cabinet Battle 3"" (cut)",80,3,2,1,3
"""The Election of 1800""",67,9,1,2,3
"""Your Obedient Servant""",166,2,1,2,3
"""Best of Wives and Best of Women""",132,2,1,4,1
"""Ten Things One World"" (cut)",80,3,2,3,4
"""The World Was Wide Enough""",85,7,1,3,3
"""Who Lives, Who Dies, Who Tells Your Story""",76,12,1,4,4
